time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447850000	12.1703	3.81003	4.32941	-0.390053	0	radar	1254.17	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	12.3167	3.8954	4.28184	-0.378746	0	lidar	5393.32	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	12.3536	3.91233	3.97124	-0.358057	0	radar	1165.17	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	12.5	4.00065	3.92431	-0.346227	0	lidar	5813.14	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	12.5374	4.01672	3.89675	-0.343463	0	radar	1199.95	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	12.6751	4.106	3.8505	-0.331013	0	lidar	5810.91	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	12.7121	4.1226	3.62202	-0.315339	0	radar	1245.06	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	12.8477	4.21286	3.57762	-0.302706	0	lidar	6030.31	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	12.8857	4.2292	3.43536	-0.292537	0	radar	1327.94	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	13.0123	4.31827	3.39304	-0.27977	0	lidar	5849.33	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	13.0479	4.33458	3.27757	-0.271143	0	radar	1267.53	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	13.1731	4.42713	3.23528	-0.25764	0	lidar	6331.23	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	13.2088	4.44341	3.08468	-0.246692	0	radar	1313.36	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	13.3274	4.53644	3.04355	-0.232815	0	lidar	6396.9	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	13.3614	4.55262	2.91943	-0.223459	0	radar	1284.8	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	13.4719	4.64577	2.87941	-0.209188	0	lidar	6400.2	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	13.5053	4.66132	2.77677	-0.20128	0	radar	1257.45	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	13.6157	4.75597	2.73827	-0.18682	0	lidar	6751.58	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	13.6499	4.77289	2.50444	-0.169941	0	radar	1439.22	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	13.7555	4.86758	2.46745	-0.155312	0	lidar	6834.6	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	13.7879	4.88334	2.34616	-0.14595	0	radar	1316.08	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	13.885	4.97821	2.31014	-0.130889	0	lidar	6868.09	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	13.916	4.9939	2.21682	-0.123302	0	radar	1298.78	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	14.007	5.08801	2.18253	-0.108172	0	lidar	6843.13	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	14.0381	5.10391	2.05605	-0.0982635	0	radar	1357.4	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	14.1239	5.19954	2.0224	-0.0826115	0	lidar	7146.99	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	14.1554	5.21646	1.84154	-0.0687463	0	radar	1508.99	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	14.2344	5.31315	1.80857	-0.0525722	0	lidar	7394.92	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	14.2636	5.32838	1.75296	-0.0474493	0	radar	1311.93	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	14.3338	5.42324	1.72168	-0.0312621	0	lidar	7233.15	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	14.3618	5.43841	1.64252	-0.0244329	0	radar	1288.47	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
